,
Company,Market Cap (Cr)
Oil India Ltd.,"78,752"
NHPC Ltd.,"78,401"
IDBI Bank Ltd.,"78,256"
Dabur India Ltd.,"76,730"
Torrent Power Ltd.,"75,072"
Aurobindo Pharma Ltd.,"74,459"
SRF Ltd.,"73,976"
Persistent Systems Ltd.,"73,555"
Hindustan Petroleum Corporation Ltd.,"73,091"
Lloyds Metals & Energy Ltd.,"70,691"
NMDC Ltd.,"70,510"
PB Fintech Ltd.,"69,649"
FSN E-Commerce Ventures Ltd.,"69,376"
Bank of India,"68,973"
Bajaj Housing Finance Ltd.,"68,508"
National Aluminium Company Ltd.,"68,424"
Au Small Finance Bank Ltd.,"68,054"
Federal Bank Ltd.,"67,465"
One97 Communications Ltd.,"67,173"
SBI Cards and Payment Services Ltd.,"66,226"
L&T Finance Ltd.,"65,452"
Meesho Ltd.,"65,314"
IndusInd Bank Ltd.,"64,861"
General Insurance Corporation of India,"64,816"
Steel Authority of India (SAIL) Ltd.,"64,622"
Info Edge (India) Ltd.,"64,012"
Schaeffler India Ltd.,"64,008"
Multi Commodity Exchange of India Ltd.,"63,853"
Dixon Technologies (India) Ltd.,"63,349"
Alkem Laboratories Ltd.,"62,891"
Indian Overseas Bank,"62,738"
Fortis Healthcare Ltd.,"62,480"
Adani Total Gas Ltd.,"61,589"
UNO Minda Ltd.,"61,564"
Biocon Ltd.,"61,319"
Linde India Ltd.,"61,089"
Glenmark Pharmaceuticals Ltd.,"60,811"
YES Bank Ltd.,"59,182"
Jindal Stainless Ltd.,"59,127"
Coromandel International Ltd.,"58,602"
Suzlon Energy Ltd.,"57,972"
Oracle Financial Services Software Ltd.,"56,787"
Max Financial Services Ltd.,"56,761"
Abbott India Ltd.,"56,523"
Phoenix Mills Ltd.,"56,399"
Rail Vikas Nigam Ltd.,"56,004"
Prestige Estates Projects Ltd.,"55,909"
MRF Ltd.,"55,330"
APL Apollo Tubes Ltd.,"55,047"
IDFC First Bank Ltd.,"54,717"
Nippon Life India Asset Management Ltd.,"54,669"
JSW Infrastructure Ltd.,"53,739"
Oberoi Realty Ltd.,"53,508"
UPL Ltd.,"53,250"
HDB Financial Services Ltd.,"52,890"
Laurus Labs Ltd.,"52,712"
Sundaram Finance Ltd.,"52,502"
The Fertilisers and Chemicals Travancore Ltd.,"52,212"
Colgate-Palmolive (India) Ltd.,"52,129"
Patanjali Foods Ltd.,"52,093"
Bank of Maharashtra,"50,018"
Supreme Industries Ltd.,"49,178"
Tube Investments of India Ltd.,"49,100"
Vishal Mega Mart Ltd.,"48,657"
Berger Paints (India) Ltd.,"48,390"
Godrej Properties Ltd.,"48,226"
Bharat Dynamics Ltd.,"46,795"
Hindustan Copper Ltd.,"46,495"
Voltas Ltd.,"45,378"
PI Industries Ltd.,"44,378"
Astral Ltd.,"44,067"
Mahindra & Mahindra Financial Services Ltd.,"43,388"
360 One Wam Ltd.,"42,540"
United Breweries Ltd.,"42,157"
Indian Railway Catering & Tourism Corporation Ltd.,"41,956"
Tata Communications Ltd.,"41,376"
Piramal Finance Ltd.,"41,088"
Balkrishna Industries Ltd.,"41,045"
KEI Industries Ltd.,"40,974"
Authum Investment & Infrastructure Ltd.,"40,924"
Motilal Oswal Financial Services Ltd.,"40,914"
GlaxoSmithKline Pharmaceuticals Ltd.,"40,739"
Petronet LNG Ltd.,"40,080"
Kalyan Jewellers India Ltd.,"39,962"
MphasiS Ltd.,"39,338"
Ipca Laboratories Ltd.,"39,154"
Apar Industries Ltd.,"38,999"
Premier Energies Ltd.,"38,967"
Thermax Ltd.,"38,645"
JK Cement Ltd.,"38,626"
3M India Ltd.,"37,479"
NLC India Ltd.,"37,294"
Coforge Ltd.,"37,109"
Ajanta Pharma Ltd.,"36,583"
Cochin Shipyard Ltd.,"36,339"
Anthem Biosciences Ltd.,"36,180"
Blue Star Ltd.,"35,715"
Page Industries Ltd.,"35,441"
Housing and Urban Development Corporation Ltd.,"35,211"
Radico Khaitan Ltd.,"35,026"
Gujarat Fluorochemicals Ltd.,"34,876"
L&T Technology Services Ltd.,"34,795"
Mangalore Refinery And Petrochemicals Ltd.,"34,686"
Dalmia Bharat Ltd.,"34,405"
Container Corporation of India Ltd.,"34,094"
Narayana Hrudayalaya Ltd.,"34,010"
J B Chemicals & Pharmaceuticals Ltd.,"33,878"
Escorts Kubota Ltd.,"33,717"
Indian Renewable Energy Development Agency Ltd.,"33,374"
Poonawalla Fincorp Ltd.,"33,113"
Aster DM Healthcare Ltd.,"33,066"
AIA Engineering Ltd.,"32,854"
Endurance Technologies Ltd.,"32,592"
ITC Hotels Ltd.,"32,008"
Navin Fluorine International Ltd.,"32,007"
UCO Bank,"32,001"
Procter & Gamble Hygiene & Healthcare Ltd.,"31,961"
Delhivery Ltd.,"31,599"
Godfrey Phillips India Ltd.,"31,415"
Sona BLW Precision Forgings Ltd.,"31,291"
Tata Investment Corporation Ltd.,"31,152"
Central Bank of India,"31,037"
Jubilant Foodworks Ltd.,"30,290"
Go Digit General Insurance Ltd.,"30,079"
Crisil Ltd.,"29,332"
Ather Energy Ltd.,"29,193"
KPR Mill Ltd.,"28,507"
Emcure Pharmaceuticals Ltd.,"28,438"
Force Motors Ltd.,"28,118"
TVS Holdings Ltd.,"27,939"
Godrej Industries Ltd.,"27,871"
SJVN Ltd.,"27,740"
Aditya Birla Sun Life AMC Ltd.,"27,361"
Global Health Ltd.,"27,145"
LIC Housing Finance Ltd.,"27,091"
Garden Reach Shipbuilders & Engineers Ltd.,"26,750"
Physicswallah Ltd.,"26,727"
Star Health and Allied Insurance Company Ltd.,"26,666"
Apollo Tyres Ltd.,"26,611"
Cholamandalam Financial Holdings Ltd.,"26,584"
Gillette India Ltd.,"26,427"
Gland Pharma Ltd.,"26,363"
Karur Vysya Bank Ltd.,"26,254"
Hexaware Technologies Ltd.,"26,102"
Exide Industries Ltd.,"26,095"
Tata Elxsi Ltd.,"26,000"
ITI Ltd.,"25,944"
PTC Industries Ltd.,"25,903"
Bandhan Bank Ltd.,"25,846"
Metro Brands Ltd.,"25,837"
ACC Ltd.,"25,650"
Honeywell Automation India Ltd.,"25,632"
Krishna Institute of Medical Sciences Ltd.,"25,627"
ZF Commercial Vehicle Control Systems India Ltd.,"25,559"
IRB Infrastructure Developers Ltd.,"25,418"
Motherson Sumi Wiring India Ltd.,"25,194"
Central Depository Services (India) Ltd.,"25,155"
Anand Rathi Wealth Ltd.,"24,541"
Kaynes Technology India Ltd.,"24,426"
Timken India Ltd.,"24,378"
Gujarat Gas Ltd.,"24,049"
AWL Agri Business Ltd.,"23,961"
Amber Enterprises India Ltd.,"23,925"
Sun TV Network Ltd.,"23,785"
NBCC (India) Ltd.,"23,101"
Inventurus Knowledge Solutions Ltd.,"22,905"
Himadri Speciality Chemical Ltd.,"22,745"
The Ramco Cements Ltd.,"22,571"
Manappuram Finance Ltd.,"22,346"
Dr. Lal Pathlabs Ltd.,"22,132"
Indraprastha Gas Ltd.,"21,979"
Shyam Metalics and Energy Ltd.,"21,910"
The New India Assurance Company Ltd.,"21,838"
Pfizer Ltd.,"21,833"
Tenneco Clean Air India Ltd.,"21,732"
Schneider Electric Infrastructure Ltd.,"21,731"
Tata Technologies Ltd.,"21,673"
Hatsun Agro Products Ltd.,"21,521"
Sai Life Science Ltd.,"21,397"
Aegis Logistics Ltd.,"21,365"
Welspun Corp Ltd.,"21,327"
Angel One Ltd.,"21,309"
Nuvama Wealth Management Ltd.,"21,197"
Asahi India Glass Ltd.,"21,172"
AstraZeneca Pharma India Ltd.,"21,036"
PNB Housing Finance Ltd.,"21,023"
CESC Ltd.,"20,948"
Great Eastern Shipping Company Ltd.,"20,927"
Prime Focus Ltd.,"20,688"
Kirloskar Oil Engines Ltd.,"20,661"
Aditya Infotech Ltd.,"20,429"
